,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-04-07 13:59:59,3.24459907946e-07,2.59766219065e-09,2.09475798733e-09,2.2266706594e-09
2020-04-07 14:14:59,3.32367642038e-07,2.55702051462e-09,2.04038108983e-09,2.16440144188e-09
2020-04-07 14:29:59,3.25309404014e-07,2.82626051379e-09,1.88295064843e-09,2.01410965233e-09
2020-04-07 14:44:59,3.19895206245e-07,3.56271719858e-09,2.15023159494e-09,2.77334895322e-09
2020-04-07 14:59:59,3.37643700348e-07,3.72733846487e-09,2.64915759879e-09,2.92170513076e-09
2020-04-07 15:14:59,3.11411686316e-07,3.3100704983e-09,2.56401257506e-09,2.74109250028e-09
2020-04-07 15:29:59,2.85214468929e-07,2.41857372754e-09,1.81679057916e-09,2.00196851069e-09
2020-04-07 15:44:59,2.92381989808e-07,2.57040797492e-09,1.99499500797e-09,2.11702417735e-09
2020-04-07 15:59:59,3.01680206268e-07,2.66132228244e-09,2.111447449e-09,2.22885366051e-09
2020-04-07 16:14:59,3.06250737096e-07,2.11905895938e-09,1.44451032104e-09,1.60118375777e-09
2020-04-07 16:29:59,3.10258826141e-07,2.23585634514e-09,1.45811405768e-09,1.62347614024e-09
2020-04-07 16:44:59,3.02678158236e-07,2.75584738235e-09,1.44239864553e-09,2.37764452966e-09
2020-04-07 16:59:59,2.98164804279e-07,2.89087490671e-09,1.58500139196e-09,2.56289489973e-09
2020-04-07 17:14:59,3.18250396063e-07,2.12946095707e-09,1.5132626076e-09,1.67371948618e-09
2020-04-07 17:29:59,3.18822718764e-07,2.30745200781e-09,1.70731145643e-09,1.84528810356e-09
2020-04-07 17:44:59,3.15267978213e-07,2.36185991139e-09,1.70159390109e-09,1.83092828174e-09
2020-04-07 17:59:59,3.1750793802e-07,2.73013035171e-09,2.10478025863e-09,2.24419331559e-09
2020-04-07 18:14:59,3.03243374907e-07,3.58987269053e-09,2.67586008366e-09,2.79912803119e-09
2020-04-07 18:29:59,3.01486396948e-07,3.14080417505e-09,2.24145598189e-09,2.38712727806e-09
2020-04-07 18:44:59,3.10975781111e-07,3.53242781067e-09,2.57874720915e-09,3.16396861501e-09
2020-04-07 18:59:59,3.18086413131e-07,5.76390861065e-09,4.67201973342e-09,5.08960339602e-09
2020-04-07 19:14:59,3.1100619337e-07,5.92171147699e-09,5.03767033049e-09,5.206501516e-09
2020-04-07 19:29:59,3.24851179035e-07,5.83275420869e-09,5.09723854175e-09,5.26357223492e-09
2020-04-07 19:44:59,3.34543756227e-07,6.53898745686e-09,5.90960153003e-09,6.1103811009e-09
2020-04-07 19:59:59,3.31440449674e-07,1.66404936e-08,1.55640683385e-08,1.56939369438e-08
2020-04-07 20:14:59,3.09123123898e-07,2.48537220005e-08,2.31135570432e-08,2.32361779632e-08
2020-04-07 20:29:59,3.03828261119e-07,2.8529084892e-08,2.6858513058e-08,2.70445740132e-08
2020-04-07 20:44:59,2.9755960747e-07,4.18009465065e-08,3.89310113876e-08,3.91236584673e-08
